economy,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,
AFE,55.0961538461538,55.6307692307692,51.0769230769231,41.7384615384615,34.2307692307692
AFG,19.0,19.9,82.3,6.4,6.8
AFW,63.6,57.4363636363636,53.5227272727273,48.0136363636364,38.7454545454545
AGO,17.0,20.7,17.4,13.9,11.1
ALB,10.3,12.5,12.0,11.3,10.8
AND,,,,,
ARB,38.7863636363636,38.2818181818182,33.6136363636364,34.5681818181818,27.7954545454545
ARE,11.2,13.0,13.4,22.8,17.2
ARG,11.4,10.8,10.4,5.3,5.0
ARM,1.0,0.9,0.9,0.8,0.8
ASM,,,,,
ATG,9.4,9.3,9.1,8.7,8.0
AUS,0.7,0.7,0.7,0.7,0.7
AUT,5.3,5.2,5.1,4.8,4.7
AZE,1.7,1.9,1.6,1.3,1.2
BDI,13.4,13.9,33.9,10.7,12.3
BEL,5.0,5.0,5.6,5.4,5.3
BEN,45.4,3.8,3.7,3.6,3.5
BFA,43.5,43.4,42.6,43.3,42.8
BGD,14.0,15.6,22.9,21.2,8.7
BGR,1.4,1.3,1.2,1.1,1.0
BHR,0.8,1.2,1.0,1.1,1.0
BHS,10.8,13.8,13.8,11.4,11.0
BIH,23.9,22.9,16.1,14.9,13.7
BLR,0.9,0.6,0.6,0.5,0.5
BLZ,34.2,34.6,34.6,34.7,34.3
BMU,,,,,
BOL,51.1,49.7,46.6,39.2,37.3
BRA,4.8,5.2,4.8,4.7,4.2
BRB,7.1,7.7,7.6,7.3,7.3
BRN,1.2,1.5,1.1,1.2,1.1
BTN,4.0,3.8,3.9,3.5,3.7
BWA,0.7,0.8,0.7,0.6,0.6
CAF,181.3,186.0,154.7,143.4,127.8
CAN,0.4,0.4,0.4,0.3,0.3
CEB,3.5,3.65454545454545,2.89090909090909,2.73636363636364,2.60909090909091
CHE,2.3,2.3,2.3,2.3,2.3
CHI,,,,,
CHL,5.9,5.9,5.9,5.7,2.7
CHN,1.7,1.6,1.5,1.2,1.1
CIV,18.6,18.9,16.5,2.7,2.7
CMR,33.0,32.2,35.8,24.8,24.8
COD,29.3,29.3,28.6,26.7,16.3
COG,52.3,61.2,77.7,75.5,62.2
COL,14.3,14.1,14.0,14.0,14.1
COM,89.7,98.4,84.1,82.5,54.2
CPV,14.8,14.7,15.4,14.4,13.0
CRI,11.1,9.1,8.6,9.5,9.6
CSS,19.8384615384615,19.5153846153846,19.2153846153846,18.4230769230769,18.0846153846154
CUB,,,,,
CUW,,,,,
CYM,,,,,
CYP,12.5,12.2,12.4,11.9,5.6
CZE,6.7,5.7,1.0,1.0,1.1
DEU,6.9,6.7,6.8,6.5,6.5
DJI,196.6,156.0,58.8,41.9,39.7
DMA,15.0,15.7,15.5,14.7,15.2
DNK,0.2,0.2,0.2,0.2,0.2
DOM,15.3,14.8,14.5,14.1,13.7
DZA,10.9,11.1,12.5,11.8,11.3
EAP,27.965,24.19,23.83,22.15,21.405
EAR,37.316393442623,34.9852459016393,35.6590163934426,35.5213114754098,28.1819672131148
