economy,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,
AFE,32.0384615384615,31.5769230769231,29.2884615384615,27.8269230769231,26.8269230769231
AFG,8.5,8.5,8.5,8.5,8.5
AFW,25.1727272727273,24.2,17.9045454545455,17.7454545454545,15.2590909090909
AGO,36.0,36.0,36.0,36.0,36.0
ALB,5.0,5.0,5.0,4.5,4.5
AND,,,,,
ARB,22.2,23.3090909090909,21.5590909090909,20.6727272727273,19.6545454545455
ARE,8.3,8.3,8.3,3.8,3.8
ARG,24.5,24.5,24.5,11.0,11.5
ARM,5.0,5.0,5.0,4.0,4.0
ASM,,,,,
ATG,22.0,22.0,22.0,22.0,19.0
AUS,2.5,2.5,2.5,2.5,2.0
AUT,22.0,21.0,21.0,21.0,21.0
AZE,3.5,3.5,3.5,3.5,3.5
BDI,4.0,4.0,4.0,5.0,5.0
BEL,4.5,4.5,4.5,4.5,5.0
BEN,12.5,8.5,8.5,8.5,8.5
BFA,13.0,13.0,13.0,13.0,13.0
BGD,19.5,19.5,19.5,19.5,19.5
BGR,25.0,23.0,23.0,23.0,23.0
BHR,9.4,8.3,8.3,8.3,8.3
BHS,28.5,21.5,21.5,21.5,11.5
BIH,82.0,80.0,80.0,80.0,80.0
BLR,9.0,9.0,9.0,9.0,8.5
BLZ,43.0,43.0,48.0,48.0,48.0
BMU,,,,,
BOL,49.0,45.0,41.0,39.5,39.5
BRA,86.0,82.5,82.5,20.1,16.6
BRB,19.0,16.0,16.0,16.0,16.0
BRN,14.5,14.5,12.5,5.5,5.5
BTN,15.0,15.0,12.0,12.0,12.0
BWA,48.0,48.0,48.0,48.0,48.0
CAF,22.0,22.0,22.0,22.0,22.0
CAN,1.5,1.5,1.5,1.5,1.5
CEB,16.0909090909091,15.7272727272727,15.7272727272727,18.0,15.9090909090909
CHE,10.0,10.0,10.0,10.0,10.0
CHI,,,,,
CHL,7.5,7.5,7.5,6.0,4.0
CHN,29.3,26.9,22.9,8.5,8.5
CIV,7.0,7.0,8.0,6.0,6.0
CMR,16.5,16.5,16.5,13.5,13.5
COD,11.5,11.5,7.0,7.0,7.0
