economy,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,
AFE,9.30769230769231,8.88461538461539,8.46153846153846,8.34615384615385,8.30769230769231
AFG,4.0,4.0,4.0,4.0,4.0
AFW,7.68181818181818,7.36363636363636,7.04545454545455,6.77272727272727,6.63636363636364
AGO,8.0,7.0,8.0,8.0,8.0
ALB,5.0,5.0,5.0,5.0,5.0
AND,,,,,
ARB,8.72727272727273,8.5,7.95454545454545,7.31818181818182,6.63636363636364
ARE,6.0,4.0,4.0,2.0,2.0
ARG,14.0,14.0,14.0,11.0,12.0
ARM,4.0,4.0,4.0,3.0,3.0
ASM,,,,,
ATG,9.0,9.0,9.0,9.0,9.0
AUS,3.0,3.0,3.0,3.0,3.0
AUT,8.0,8.0,8.0,8.0,8.0
AZE,3.0,3.0,3.0,3.0,3.0
BDI,3.0,3.0,3.0,4.0,4.0
BEL,5.0,5.0,5.0,5.0,5.0
BEN,8.0,6.0,6.0,6.0,6.0
BFA,3.0,3.0,3.0,3.0,3.0
BGD,9.0,9.0,9.0,9.0,9.0
BGR,7.0,7.0,7.0,7.0,7.0
BHR,7.0,6.0,6.0,6.0,6.0
BHS,8.0,8.0,7.0,7.0,7.0
BIH,13.0,13.0,13.0,13.0,13.0
BLR,5.0,5.0,5.0,4.0,4.0
BLZ,9.0,9.0,9.0,9.0,9.0
BMU,,,,,
BOL,14.0,14.0,12.0,12.0,12.0
BRA,11.0,11.0,11.0,11.0,11.0
BRB,7.0,7.0,7.0,7.0,7.0
BRN,7.0,7.0,5.0,3.0,3.0
BTN,8.0,8.0,8.0,8.0,8.0
BWA,9.0,9.0,9.0,9.0,9.0
CAF,10.0,10.0,10.0,10.0,10.0
CAN,2.0,2.0,2.0,2.0,2.0
CEB,5.54545454545455,5.54545454545455,5.54545454545455,5.72727272727273,5.54545454545455
CHE,6.0,6.0,6.0,6.0,6.0
CHI,,,,,
CHL,8.0,8.0,8.0,7.0,6.0
CHN,9.0,7.0,7.0,4.0,4.0
CIV,5.0,5.0,5.0,4.0,4.0
CMR,7.0,7.0,7.0,6.0,6.0
COD,7.0,7.0,4.0,4.0,4.0
COG,12.0,12.0,11.0,11.0,11.0
COL,9.0,8.0,8.0,8.0,7.0
COM,9.0,9.0,9.0,9.0,9.0
CPV,9.0,9.0,9.0,9.0,9.0
CRI,9.0,9.0,9.0,10.0,10.0
CSS,7.07692307692308,6.69230769230769,6.61538461538461,6.61538461538461,6.61538461538461
CUB,,,,,
CUW,,,,,
CYM,,,,,
CYP,6.0,5.0,5.0,5.0,5.0
CZE,8.0,8.0,8.0,9.0,9.0
DEU,9.0,9.0,9.0,9.0,9.0
DJI,7.0,7.0,7.0,6.0,6.0
DMA,5.0,5.0,5.0,5.0,5.0
DNK,5.0,5.0,5.0,5.0,5.0
DOM,7.0,7.0,7.0,7.0,7.0
DZA,12.0,12.0,12.0,12.0,12.0
EAP,8.25,8.1,8.1,7.7,7.25
EAR,9.13114754098361,8.9344262295082,8.73770491803279,8.34426229508197,7.95081967213115
EAS,7.03448275862069,6.89655172413793,6.82758620689655,6.44827586206897,6.13793103448276
ECA,5.65,5.5,5.35,5.0,5.0
ECS,5.51020408163265,5.40816326530612,5.3265306122449,5.34,5.26
ECU,12.0,11.0,11.0,11.0,11.0
EGY,9.0,9.0,9.0,6.0,5.0
EMU,5.52631578947368,5.36842105263158,5.26315789473684,5.31578947368421,5.05263157894737
ERI,13.0,13.0,13.0,13.0,13.0
ESP,7.0,7.0,7.0,7.0,7.0
EST,3.0,3.0,3.0,3.0,3.0
ETH,14.0,14.0,12.0,11.0,11.0
