economy,YR2015,YR2016,YR2017,YR2018,YR2019
ABW,,,,,
AFE,,,,,
AFG,2255.0,2448.0,3022.0,4274.0,
AFW,,,,,
AGO,,,,,
ALB,2616.0,2679.0,2985.0,2990.0,
AND,,,,,
ARB,,,,,
ARE,20153.0,20597.0,22134.0,24716.0,
ARG,4958.0,5885.0,6209.0,5667.0,
ARM,3493.0,3510.0,4443.0,6137.0,
ASM,,,,,
ATG,208.0,219.0,257.0,220.0,
AUS,242347.0,246623.0,250946.0,235654.0,
AUT,3631.0,3548.0,3679.0,3830.0,
AZE,5208.0,7219.0,11058.0,11611.0,
BDI,,,,,
BEL,21428.0,27248.0,24152.0,24677.0,
BEN,3579.0,3740.0,3528.0,3341.0,
BFA,,,2940.0,3416.0,
BGD,7556.0,8103.0,7629.0,4473.0,
BGR,46518.0,50753.0,49638.0,45683.0,
BHR,1567.0,4230.0,4177.0,3823.0,
BHS,,,,,
BIH,,2814.0,2433.0,2493.0,
BLR,6095.0,6427.0,7861.0,8700.0,
BLZ,757.0,915.0,900.0,843.0,
BMU,,,,,
BOL,,,,3593.0,
BRA,198263.0,175932.0,181103.0,189076.0,
BRB,,,,,
BRN,573.0,760.0,798.0,731.0,
BTN,44.0,50.0,72.0,47.0,
BWA,23515.0,26613.0,,,
CAF,97.0,157.0,153.0,213.0,
CAN,,,3908.0,4065.0,
CEB,,,,,
CHE,24244.0,24135.0,25790.0,25637.0,
CHI,,,,,
CHL,102914.0,109880.0,118724.0,132740.0,
CHN,,,,,
CIV,5758.0,7881.0,8043.0,10233.0,
CMR,,,,,
COD,1701.0,1565.0,1464.0,2102.0,
COG,,,,,
COL,59554.0,67248.0,65710.0,68588.0,
COM,,,,78.0,
CPV,1284.0,1911.0,1137.0,1444.0,
CRI,4786.0,7028.0,7393.0,8984.0,
CSS,,,,,
CUB,,,,,
CUW,,,,,
CYM,,,,,
CYP,11270.0,13645.0,13677.0,14526.0,
CZE,26068.0,27881.0,31195.0,30336.0,
DEU,69384.0,70720.0,71801.0,72844.0,
DJI,,,,,
DMA,168.0,609.0,339.0,371.0,
DNK,30282.0,33645.0,36341.0,36982.0,
DOM,8367.0,9363.0,9597.0,10204.0,
DZA,8093.0,8841.0,9885.0,9472.0,
EAP,,,,,
EAR,,,,,
EAS,,,,,
ECA,,,,,
ECS,,,,,
ECU,,,,,
EGY,,,,,
EMU,,,,,
ERI,,,,,
ESP,93982.0,100456.0,93911.0,94676.0,
EST,15005.0,16572.0,18461.0,19950.0,
ETH,,10693.0,34912.0,31198.0,
EUU,,,,,
FCS,,,,,
FIN,12625.0,13590.0,13848.0,14700.0,
FJI,,,,,
FRA,171984.0,188843.0,197899.0,201087.0,
FRO,,,,,
FSM,,,,25.0,
GAB,1544.0,1175.0,1192.0,1106.0,
GBR,611478.0,663616.0,632517.0,664974.0,
GEO,18433.0,21303.0,25561.0,25241.0,
GHA,,,,,
GIB,,,,,
GIN,1455.0,1853.0,2346.0,2630.0,
GMB,,,,,
GNB,,,,,
GNQ,,,,,
GRC,4746.0,5735.0,7706.0,9793.0,
GRD,164.0,174.0,193.0,188.0,
GRL,,,,,
GTM,4861.0,4751.0,5627.0,5530.0,
GUM,,,,,
GUY,,,,,
HIC,,,,,
HKG,139209.0,144883.0,160229.0,151739.0,
HND,,,,,
HPC,,,,,
HRV,12558.0,13502.0,14918.0,15585.0,
HTI,,,,,
HUN,21048.0,22328.0,22783.0,24252.0,
IBD,,,,,
IBT,,,,,
IDA,,,,,
IDB,,,,,
IDN,57079.0,58426.0,,,
IDX,,,,,
IMN,,,,,
IND,80546.0,93714.0,108074.0,123942.0,
INX,,,,,
IRL,19207.0,20750.0,22274.0,22398.0,
IRN,,,,23689.0,
IRQ,1801.0,2020.0,,,
ISL,2374.0,2707.0,2551.0,2283.0,
ISR,16587.0,17624.0,17213.0,17456.0,
ITA,99983.0,102135.0,110756.0,114360.0,
JAM,2227.0,2544.0,2733.0,3159.0,
JOR,3460.0,3450.0,3932.0,3289.0,
JPN,22387.0,23944.0,27442.0,29243.0,
KAZ,10682.0,21583.0,28004.0,23464.0,
KEN,,,37303.0,44259.0,
KGZ,4499.0,4936.0,,,
KHM,4417.0,4238.0,5432.0,7007.0,
KIR,3.0,4.0,4.0,2.0,
KNA,,,,,
KOR,93768.0,96155.0,,,
KWT,,,9920.0,18535.0,
LAC,,,,,
LAO,95.0,114.0,112.0,178.0,
LBN,,,,,
LBR,20.0,31.0,32.0,59.0,
LBY,,,,,
LCA,367.0,332.0,322.0,350.0,
LCN,,,,,
LDC,,,,,
LIC,,,,,
LIE,29.0,34.0,127.0,163.0,
LKA,7583.0,8060.0,9474.0,10510.0,
LMC,,,,,
LMY,,,,,
LSO,2572.0,2301.0,2443.0,3725.0,
LTE,,,,,
LTU,6184.0,6352.0,6578.0,6072.0,
LUX,6642.0,6207.0,6636.0,7309.0,
LVA,12551.0,10319.0,9340.0,9864.0,
MAC,,,,,
MAF,,,,,
MAR,35829.0,39013.0,40032.0,45132.0,
MCO,,,,,
MDA,4538.0,4444.0,5140.0,4801.0,
MDG,1543.0,1572.0,1904.0,1881.0,
MDV,,,,,
MEA,,,,,
MEX,46174.0,45256.0,82948.0,83903.0,
MHL,,,,,
MIC,,,,,
MKD,5794.0,5687.0,5438.0,5282.0,
MLI,2879.0,3092.0,3020.0,3130.0,
MLT,4569.0,4498.0,4891.0,5527.0,
MMR,4765.0,6663.0,7558.0,14051.0,
MNA,,,,,
MNE,3011.0,2817.0,3182.0,4694.0,
MNG,11003.0,9986.0,12308.0,11507.0,
MNP,,,,,
MOZ,,,,,
MRT,219.0,994.0,1122.0,959.0,
MUS,7845.0,8851.0,8757.0,8285.0,
MWI,,,,,
MYS,49510.0,46555.0,52085.0,51722.0,
NAC,,,,,
NAM,1382.0,1613.0,,,
NCL,,,,,
NER,,762.0,759.0,931.0,
NGA,70441.0,75380.0,78540.0,86309.0,
NIC,,,,,
NLD,64516.0,67127.0,68682.0,71531.0,
NOR,26706.0,27918.0,29890.0,29959.0,
NPL,12446.0,17222.0,19268.0,24088.0,
NRU,,,,,
NZL,52337.0,58130.0,57917.0,56380.0,
OED,,,,,
OMN,6616.0,7355.0,5590.0,5085.0,
OSS,,,,,
PAK,5549.0,6882.0,9864.0,13229.0,
PAN,26387.0,19562.0,15373.0,13068.0,
PER,79040.0,75397.0,77546.0,79346.0,
PHL,21422.0,22306.0,24374.0,19774.0,
PLW,,,,,
PNG,,,,,
POL,40224.0,43523.0,38903.0,36879.0,
PRE,,,,,
PRI,,,,,
PRK,,,,,
PRT,34120.0,33651.0,37571.0,43114.0,
PRY,,,,1018.0,
PSE,,,,,
PSS,,,,,
PST,,,,,
PYF,,,,,
QAT,5619.0,11535.0,14082.0,14824.0,
ROU,64417.0,73889.0,98405.0,94244.0,
RUS,456046.0,433464.0,392323.0,317468.0,
RWA,9775.0,10146.0,10076.0,10635.0,
SAS,,,,,
SAU,11046.0,10598.0,10903.0,12116.0,
SDN,,,,,
SEN,3258.0,3419.0,3712.0,4003.0,
SGP,34706.0,35021.0,37172.0,43046.0,
SLB,,,,,
SLE,986.0,1082.0,1233.0,1980.0,
SLV,2147.0,2204.0,2146.0,2347.0,
SMR,,,,,
SOM,,,,,
SRB,7929.0,8288.0,8479.0,8671.0,
SSA,,,,,
SSD,759.0,1765.0,,,
SSF,,,,,
SST,,,,,
STP,314.0,350.0,297.0,265.0,
SUR,412.0,523.0,860.0,,
SVK,10430.0,18007.0,19821.0,19720.0,
SVN,5550.0,4309.0,4563.0,4182.0,
SWE,45568.0,49751.0,48545.0,45590.0,
SWZ,,,,,
SXM,,,,,
SYC,330.0,295.0,297.0,344.0,
SYR,,,,,
TCA,,,,,
TCD,768.0,702.0,780.0,878.0,
TEA,,,,,
TEC,,,,,
TGO,1704.0,1660.0,1767.0,2587.0,
THA,44809.0,48907.0,55525.0,55589.0,
TJK,1218.0,984.0,793.0,831.0,
TKM,,,,,
TLA,,,,,
TLS,,,,,
TMN,,,,,
TON,71.0,49.0,,,
TSA,,,,,
TSS,,,,,
TTO,,,,,
TUN,11661.0,12450.0,11647.0,13134.0,
TUR,65324.0,62674.0,74347.0,85798.0,
TUV,,,,,
TZA,8890.0,8326.0,6504.0,5276.0,
UGA,18387.0,18050.0,17423.0,18862.0,
UKR,38088.0,48138.0,51349.0,,
UMC,,,,,
URY,,3420.0,3350.0,2796.0,
USA,,,,,
UZB,17414.0,23081.0,26656.0,35968.0,
VCT,119.0,118.0,,,
VEN,,,,,
VGB,,,,,
VIR,,,,,
VNM,73422.0,73422.0,,,
VUT,83.0,130.0,168.0,258.0,
WLD,,,,,
WSM,129.0,110.0,138.0,126.0,
XKX,2526.0,3993.0,4640.0,5353.0,
YEM,,,,,
ZAF,315677.0,376727.0,,,
ZMB,9131.0,8872.0,9396.0,10236.0,
ZWE,9055.0,8124.0,9518.0,16810.0,
