year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
2003,tv mini series,7.7,474.0,50.0,Documentary, Animation,United States,None,English,None,Christian Slater, Scott Sampson,Unknown,None,Unknown,None,Mike Carrol, Mike Carroll
1994,video movie,8.1,18.0,83.0,Family,None,United States,None,English,None,Paula Abdul, Aurorah Allain,Steve Purcell,None,Unknown,None,Unknown,None
1992,movie,5.5,93.0,96.82821118991332,Action, Sci-Fi,Japan,None,Japanese,None,Kai Shishido, Etsushi Takahashi,Yasuhiro Horiuchi,None,Carole King,None,Kazumasa Hirai, Jirô Kuwata
2004,movie,5.3,13432.0,60.0,Documentary, Comedy,United States,None,English, German,Marlee Matlin, Elaine Hendrix,William Arntz, Betsy Chasse,Christopher Franke,None,William Arntz, Betsy Chasse
1991,movie,4.5,2177.0,96.0,Comedy, Horror,United States,None,English,None,Brick Bronsky, Lisa Gaye,Eric Louzil,None,Bob Mithoff,None,Lloyd Kaufman, Carl Morano
1988,video movie,8.0,81.0,55.0,Documentary, Music,United States,None,English,None,Neil Diamond, Richard Bennett,Dwight Hemion, Peter Israelson,Unknown,None,Kenny Solms, Ann Elder
2005,video movie,4.8,7153.0,118.0,Action, Comedy,United Kingdom, Romania,English,None,Wesley Snipes, Tamzin Outhwaite,Simon Fellows,None,Barry Taylor, Neal Acree,Martin Wheeler,None
1990,tv movie,7.1,2898.0,58.0,Action, Drama,United States,None,English, Russian,Powers Boothe, Rebecca De Mornay,Jack Sholder,None,Trevor Jones,None,William Prochnau, Bruce Gilbert
1972,movie,6.8,1818.0,15.0,Adventure, Comedy,India,None,Hindi,None,Dharmendra, Sanjeev Kumar,Ramesh Sippy,None,Rahul Dev Burman,None,Javed Akhtar, Javed Akhtar
2001,tv movie,7.6,768.0,75.0,Drama, Comedy,United Kingdom, United States,English,None,Paul Reiser, Amber Sealey,Paul Seed,None,Rupert Gregson-Williams,None,Tim Kazurinsky,None
2004,episode,7.2,67.0,205.0,Animation, Adventure,United States,None,English, Spanish,Sonia Manzano, Alan Muraoka,Kevin Clash, Ken Diego,Unknown,None,Molly Boylan, Annie Evans
2001,tv movie,7.2,901.0,87.0,Drama, History,United States,None,English,None,Jeffrey Wright, Terrence Howard,Clark Johnson,None,Joseph Vitarelli,None,Stewart Burns, Herman Daniel Farrell
1999,episode,7.7,286.0,55.0,Documentary, Music,United States,None,English,None,Meat Loaf, Jim Steinman,Bob Smeaton,None,Unknown,None,Unknown,None
2000,tv series,7.6,23785.0,85.0,Animation, Comedy,United States,None,English,None,Dave Willis, Dana Snyder,Unknown,None,Unknown,None,Dave Willis, Dave Willis
1998,video movie,4.6,1484.0,117.0,Animation, Adventure,United States,None,English,None,James S. Baker, Matt K. Miller,Phil Robinson, David Marshall,Nerida Tyson-Chew,None,Richard Tulloch, Diana Young
1993,tv mini series,6.9,1605.0,90.0,Drama, Romance,United Kingdom,None,English,None,Joely Richardson, Sean Bean,Unknown,None,Unknown,None,Michael Haggiag, D.H. Lawrence
1973,movie,7.1,911.0,92.0,Action, Drama,Japan,None,Japanese,None,Shintarô Katsu, Yukiyo Toake,Kimiyoshi Yasuda,None,Akira Ifukube,None,Yoshi Hattori, Kan Shimozawa
2003,video movie,2.8,120.0,72.0,Romance,None,United States,None,English,None,Joe Dain, Kris Black,Thomas R. Smyth,None,Unknown,None,Scott Yarbrough,None
1996,tv mini series,5.3,129.0,145.0,Drama, Comedy,France,None,French, English,Bérénice Bejo, Éric Caravaca,Unknown,None,Unknown,None,Clarisse Battas, Clarisse Battas
1986,movie,5.7,6778.0,103.0,Comedy, Horror,United States, Italy,English,None,Diane Franklin, Gerrit Graham,Ted Nicolaou,None,Richard Band,None,Ted Nicolaou,None
1996,movie,7.0,6850.0,114.0,Drama,None,United States,None,English,None,Alison Elliott, Ellen Burstyn,Lee David Zlotoff,None,James Horner,None,Lee David Zlotoff,None
1993,video movie,8.3,102.0,45.0,Documentary, Comedy,United States,None,English,None,Bob Casale, Gerald Casale,Unknown,None,Gerald Casale, Mark Mothersbaugh,Unknown,None
2002,movie,7.5,3562.0,74.0,Documentary, History,United States,None,English,None,Lili Taylor, Pamela Z,Sam Green, Bill Siegel,David Cerf, Amy Domingues,Unknown,None
2003,video movie,1.6,210.0,82.0,Horror, Thriller,Canada,None,English,None,Brett Kelly, Sherry Thurig,Brett Kelly,None,Sylvain Lavigne,None,Brett Kelly,None
2003,movie,7.6,18930.0,105.0,Drama, Crime,Brazil, Argentina,Portuguese,None,Luiz Carlos Vasconcelos, Milton Gonçalves,Hector Babenco,None,André Abujamra,None,Hector Babenco, Fernando Bonassi
1996,movie,6.5,94804.0,97.0,Action, Adventure,United States,None,English,None,Dennis Quaid, David Thewlis,Rob Cohen,None,Randy Edelman,None,Patrick Read Johnson, Charles Edward Pogue
2004,movie,4.8,166.0,118.0,Comedy, Romance,Hong Kong,None,Cantonese,None,Hin-Wai Au, Kenny Bee,Jing Wong,None,Unknown,None,Jing Wong,None
2004,movie,6.3,35678.0,24.0,Biography, Drama,United Kingdom, Australia,English,None,Johnny Depp, Paul Ritter,Laurence Dunmore,None,Michael Nyman,None,Stephen Jeffreys, Stephen Jeffreys
1999,tv movie,7.4,112.0,92.0,Documentary, Music,United States,None,English,None,Ricky Martin, José Feliciano,Bruce Gowers,None,Unknown,None,Ken Ehrlich,None
1985,movie,4.1,2370.0,25.0,Adventure, Fantasy,United States, Argentina,English,None,Lana Clarkson, Katt Shea,Héctor Olivera,None,James Horner, Christopher Young,Howard R. Cohen,None
1997,video movie,5.5,1550.0,97.12636815920398,Fantasy, Horror,Romania, United States,English,None,Jonathon Morris, David Gunn,Ted Nicolaou,None,Richard Kosinski,None,Ted Nicolaou,None
2001,tv series,8.3,20289.0,75.0,Animation, Action,United States,None,English,None,Andy Berman, Richard Steven Horvitz,Unknown,None,Unknown,None,Jhonen Vasquez, Jhonen Vasquez
1994,movie,7.4,481.0,96.82821118991332,Documentary, Biography,United States,None,English,None,Maya Lin,None,Freida Lee Mock,None,Charles Bernstein,None,Freida Lee Mock,None
1974,movie,7.5,2968.0,99.0,Action, Adventure,Soviet Union,None,Russian,None,Yuriy Bogatyryov, Anatoliy Solonitsyn,Nikita Mikhalkov,None,Eduard Artemyev,None,Nikita Mikhalkov, Eduard Volodarskiy
1999,movie,7.2,2040.0,96.0,Comedy, Crime,Thailand,None,Thai,None,Lalita Panyopas, Sirisin Siripornsmathikul,Pen-Ek Ratanaruang,None,Unknown,None,Pen-Ek Ratanaruang,None
2004,tv mini series,8.0,31414.0,160.0,Animation, Action,Japan,None,English, Japanese,Sanae Kobayashi, Chihiro Suzuki,Unknown,None,Unknown,None,Lynn Okamoto, Lynn Okamoto
1996,movie,4.7,726.0,110.0,Action,None,Hong Kong, Taiwan,Mandarin, Cantonese,Donnie Yen, Billy Chow,Lu Chiang Chao, Lan Jing,Fu-Yung Chou, Chien-Yuan Huang,Man Choi Lee, Daoyuan Qian
1998,tv series,7.5,636.0,100.0,Animation, Action,Japan,None,English,None,Crispin Freeman, Bill Timoney,Unknown,None,Unknown,None,Ryo Mizuno,None
1999,video movie,8.1,57.0,97.12636815920398,Unknown,None,United States,None,English,None,Carlene Begnaud, Michael Bucci,Unknown,None,Unknown,None,Paul Heyman,None
1996,video movie,8.5,230.0,60.0,Documentary, Music,United States,None,English,None,Joe Satriani, Eric Johnson,Unknown,None,Eric Johnson, Joe Satriani,Unknown,None
1985,movie,6.7,497.0,103.0,Comedy, Drama,Mexico,None,Spanish,None,Arturo Meza, Marco Treviño,Jaime Humberto Hermosillo,None,Unknown,None,Jaime Humberto Hermosillo, Jaime Humberto Hermosillo
2000,tv movie,6.6,76.0,150.0,Documentary,None,United States,None,English,None,Liam Neeson,None,Pierre de Lespinois,None,Michael Whalen,None,Stephen Jay Schwartz,None
1989,movie,6.7,123.0,92.0,Comedy, Drama,Hong Kong,None,Cantonese,None,Kenny Bee, Maggie Cheung,Anthony Chan,None,Unknown,None,Anthony Chan, Eddie Ling-Ching Fong
1993,movie,6.1,47.0,96.0,Unknown,None,Hong Kong,None,Cantonese, Mandarin,Sui Chun Do, Chuan-Chen Yeh,Siu-Keung Cheng,None,Unknown,None,James Fung,None
2004,movie,6.9,2915.0,94.0,Drama,None,France, Switzerland,French, Arabic,Sarah Adler, Nade Dieu,Jean-Luc Godard,None,Unknown,None,Jean-Luc Godard,None
2004,video movie,8.9,148.0,95.0,Documentary, Music,United States,None,English,None,Stevie Ray Vaughan, Tommy Shannon,Michael B. Borofsky,None,Unknown,None,Unknown,None
1993,movie,7.2,322.0,24.0,Documentary, War,France,None,French, German,Michel Bouquet, Brian Cox,Claude Chabrol,None,Unknown,None,Jean-Pierre Azéma, Robert O. Paxton
2000,video movie,8.0,3007.0,98.0,Documentary, Action,United States, United Kingdom,English, Cantonese,Bruce Lee, Kareem Abdul-Jabbar,John Little, Bruce Lee,Wayne Hawkins,None,Bruce Lee, John Little
1988,tv mini series,6.9,1589.0,110.0,Animation, Action,Japan,None,Japanese,None,Hiromi Tsuru, Masaaki Ôkura,Unknown,None,Unknown,None,Kôichi Mashimo, Futoshi Takano
1973,tv mini series,8.1,293.0,91.0,Mystery,None,United Kingdom,None,English,None,Ian Carmichael, Mark Eden,Unknown,None,Unknown,None,Bill Craig, Dorothy L. Sayers
2004,movie,7.1,3586.0,108.0,Comedy, Drama,Spain,None,Spanish, French,José Luis García Pérez, David Castillo,Miguel Albaladejo,None,Lucio Godoy,None,Miguel Albaladejo, Salvador García Ruiz
2002,movie,5.5,1397.0,85.0,Drama, Romance,United States,None,English,None,Dominique Swain, Henry Thomas,Zev Berman,None,Nathan Barr,None,Deborah Pryor,None
2004,video movie,7.6,84.0,60.0,Music,None,United States,None,English,None,Carmit Bachar, Beyoncé,Nahum,None,Unknown,None,Unknown,None
2002,movie,5.6,65498.0,88.0,Drama, Mystery,Canada,None,English,None,Kari Matchett, Geraint Wyn Davies,Andrzej Sekula,None,Norman Orenstein,None,Sean Hood, Sean Hood
1995,movie,6.7,3692.0,232.0,Action, Comedy,United States,None,English,None,Jason Priestley, Kimberly Williams-Paisley,Wallace Wolodarsky,None,Steve Bartek,None,Wallace Wolodarsky,None
1985,movie,7.4,3772.0,68.0,Action, Comedy,Hong Kong,None,Cantonese,None,Ching-Ying Lam, Siu-Ho Chin,Ricky Lau,None,Melody Bank,None,Ricky Lau, Cheuk-Hon Szeto
2003,video movie,2.7,1662.0,101.0,Horror,None,United States,None,English,None,Samaire Armstrong, Ryan Alosio,Richard Friedman,None,Geoff Levin,None,Geoffrey Alan Holliday, Chuck Scholl
2001,movie,3.9,2853.0,82.0,Action, Adventure,Spain, United States,Spanish, English,Chris Potter, Alex Reid,Jack Sholder,None,Francesc Gener,None,Mark Sevi,None
1999,tv series,8.5,8010.0,102.0,Animation, Comedy,Japan,None,Japanese, English,Steve Blum, Tom Fahn,Unknown,None,Unknown,None,Tôru Fujisawa,None
1978,movie,5.6,1382.0,88.0,Comedy, Mystery,United Kingdom,None,English,None,Honor Blackman, Michael Callan,Radley Metzger,None,Steven Cagan,None,Radley Metzger, John Willard
2003,movie,6.4,482.0,166.0,Action, Crime,Hong Kong, China,Mandarin,None,Wei Zhao, Nicholas Tse,Ann Hui,None,Lin Zhao,None,Ivy Ho, Hai Yan
1999,movie,5.9,1534.0,134.0,Action, Comedy,Hong Kong,None,Cantonese, English,Stephen Chow, Nick Cheung,Jing Wong,None,Lincoln Lo,None,Jing Wong,None
1978,movie,6.9,3746.0,96.82821118991332,Comedy, Drama,France, Belgium,French,None,Gérard Depardieu, Patrick Dewaere,Bertrand Blier,None,Georges Delerue,None,Bertrand Blier,None
2005,video movie,3.6,299.0,86.0,Horror,None,Canada,None,English,None,Hayley Sales, Chad Rook,Boon Collins,None,Ross Vannelli,None,Boon Collins,None
1988,movie,4.0,140.0,88.0,Horror,None,United States,None,English,None,Wiley M. Pickett, Leslie Mullin,Frank Patterson,None,Unknown,None,Mark Baird, Frank Patterson
2002,video movie,7.3,18.0,103.0,Documentary, Sport,United States,None,English,None,Dusty Beer,None,Justin Deschamps,None,Brandon Slagle,None,Unknown,None
1971,movie,8.5,11015.0,95.0,Comedy, Crime,Soviet Union,None,Russian,None,Evgeniy Leonov, Georgiy Vitsin,Aleksandr Seryy,None,Gennadiy Gladkov,None,Georgiy Daneliya, Viktoriya Tokareva
2000,tv mini series,7.3,2912.0,102.0,Adventure, Comedy,United Kingdom, United States,English,None,Warren Mitchell, Celia Imrie,Unknown,None,Unknown,None,Malcolm McKay, Mervyn Peake
1969,episode,6.8,2063.0,66.0,Talk-Show,None,United Kingdom,None,English,None,John Cleese, Tim Brooke-Taylor,Ian Fordyce,None,Unknown,None,Graham Chapman, John Cleese
2003,movie,5.5,1491.0,96.82821118991332,Drama, Romance,Canada,None,English,None,Patrick Swayze, Lisa Niemi,Lisa Niemi,None,Stacy Widelitz,None,Kevin Bernhardt, Lisa Niemi
1982,movie,7.7,4040.0,96.82821118991332,Comedy,None,United States,None,English,None,Richard Pryor, Gene Cross,Joe Layton,None,Harry Betts,None,Paul Mooney, Richard Pryor
2004,movie,7.9,59473.0,45.0,Comedy, Drama,France, Switzerland,French,None,Gérard Jugnot, François Berléand,Christophe Barratier,None,Bruno Coulais,None,Georges Chaperot, René Wheeler
1996,movie,6.8,1433.0,90.0,Comedy, Crime,Germany,None,German, Russian,Christoph M. Ohrt, Carin C. Tietze,Rolf Silber,None,Peter W. Schmitt,None,Rolf Silber, Rudolf Bergmann
2002,movie,8.0,911.0,108.0,Documentary,None,Canada,None,English, Hindi,Neeru Bajwa, Ruby Bhatia,Nisha Pahuja,None,Unknown,None,Unknown,None
2001,movie,7.8,2778.0,96.82821118991332,Documentary, Music,United States,None,English,None,The Allies, A-Trak,Doug Pray,None,Mix Master Mike, DJ Q-Bert,Unknown,None
2001,video movie,8.0,259.0,91.0,Music,None,United States,None,English,None,Moby, Fairuza Balk,Fredrik Bond, Nicholas Brandt,Moby,None,Unknown,None
2003,movie,7.4,527257.0,60.0,Action, Sci-Fi,United States, Canada,English, German,Patrick Stewart, Hugh Jackman,Bryan Singer,None,John Ottman,None,Zak Penn, David Hayter
2001,tv series,6.1,137.0,100.0,Animation, Horror,Japan,None,Japanese,None,Trevor Devall, Jocelyne Loewen,Unknown,None,Unknown,None,Kenichi Araki, Masashi Kubota
2005,movie,6.7,21.0,100.0,Documentary,None,United Kingdom,None,English,None,Gavin Baddeley, Daisy Berkowitz,Tom Barber,None,Unknown,None,Unknown,None
2004,tv movie,6.5,398.0,84.0,Drama,None,Canada, United States,English,None,Juliette Lewis, Layla Alizada,Don McBrearty,None,Jonathan Goldsmith,None,Barbara Samuels,None
1992,movie,7.7,140.0,60.0,Documentary, Music,Canada,None,English,None,Edward Bigs Allen, Lloyd Rocky Allen,Nicholas Campbell,None,Peter Tosh,None,Nicholas Campbell,None
2001,tv movie,6.0,317.0,96.35934959349593,Drama, Music,United States,None,English,None,Angela Bassett, Kevin Anderson,Peter Werner,None,Mason Daring,None,Julie Hébert, Julie Hébert
2002,movie,6.2,418.0,90.0,Documentary,None,Switzerland, United States,English, German,Diane Torr, Dréd Gerestant,Gabriel Baur,None,David Shiller,None,Gabriel Baur,None
2004,video movie,7.8,368.0,65.0,Documentary,None,United States,None,English,None,Aquil Abdullah, John Ashcroft,Nonny de la Peña,None,Michael Brook,None,Nonny de la Peña,None
1993,tv series,8.0,56687.0,101.0,Action, Adventure,United States,None,English, Klingon,Avery Brooks, Rene Auberjonois,Unknown,None,Unknown,None,Rick Berman, Rick Berman
2003,movie,7.3,956.0,160.0,Documentary, Biography,United States,None,English,None,Jean Dominique, Aboudja,Jonathan Demme,None,Jerry Wonder Duplessis, Wyclef Jean,Unknown,None
1982,movie,6.7,6270.0,119.0,Drama,None,West Germany, France,English,None,Brad Davis, Franco Nero,Rainer Werner Fassbinder,None,Peer Raben,None,Jean Genet, Rainer Werner Fassbinder
1995,movie,6.1,831.0,42.0,Drama,None,United Kingdom, Spain,English,None,Jacob Tierney, Drake Bell,Terence Davies,None,Robert Lockhart,None,Terence Davies, John Kennedy Toole
1981,tv mini series,8.6,288.0,86.0,Biography, Drama,United Kingdom,None,English,None,Robert Hardy, Siân Phillips,Unknown,None,Unknown,None,Ferdinand Fairfax, Ferdinand Fairfax
2004,tv movie,7.7,978.0,89.0,Documentary, Drama,United Kingdom,None,English,None,David Suchet, Martin McDougall,Joe Ahearne,None,Don Davis,None,Joe Ahearne,None
1999,episode,7.4,794.0,118.0,Crime, Drama,United Kingdom,None,English,None,John Nettles, Daniel Casey,Moira Armstrong,None,Jim Parker,None,Douglas Watkinson, Caroline Graham
1996,movie,4.9,1001.0,75.0,Crime, Horror,United States,None,English,None,Penelope Milford, Neil Giuntoli,Chuck Parello,None,Robert McNaughton,None,Chuck Parello,None
2001,movie,8.1,164.0,100.0,Comedy,None,United States,None,English,None,Carol Burnett, Tim Conway,Unknown,None,Unknown,None,Unknown,None
2003,video movie,8.7,371.0,100.0,Documentary, Music,United Kingdom,None,English,None,The Blind Boys of Alabama, Richard Evans,Hamish Hamilton,None,Unknown,None,Unknown,None
2002,movie,7.4,1448.0,88.0,Drama, War,Iran,None,Persian, Kurdish,Shahab Ebrahimi, Faegh Mohamadi,Bahman Ghobadi,None,Arsalan Kamkar,None,Bahman Ghobadi,None
1919,movie,7.3,9947.0,76.0,Drama, Romance,United States,None,English,None,Lillian Gish, Richard Barthelmess,D.W. Griffith,None,Unknown,None,Thomas Burke, D.W. Griffith
1976,movie,7.7,8088.0,94.0,Documentary, Music,United Kingdom, United States,English,None,John Bonham, John Paul Jones,Peter Clifton, Joe Massot,Unknown,None,Peter Clifton,None
2003,video movie,6.5,2068.0,92.0,Animation, Adventure,United States,None,English, Arabic,Jim Cummings, Ken Sansom,Saul Blinkoff, Elliot M. Bour,Mark Watters,None,A.A. Milne, Tom Rogers
1997,movie,8.1,46163.0,100.0,Animation, Action,Japan,None,Japanese,None,Megumi Ogata, Megumi Hayashibara,Hideaki Anno, Kazuya Tsurumaki,Shiro Sagisu,None,Hideaki Anno,None
2003,tv series,6.4,128.0,85.0,Adventure, Animation,Japan,None,Japanese,None,Richard Cansino, Mari Devon,Unknown,None,Unknown,None,Ryô Akizuki, Tatsuo Satô
1999,episode,7.9,899.0,93.0,Crime, Drama,United Kingdom,None,English,None,John Nettles, Daniel Casey,Jeremy Silberston,None,Jim Parker,None,Anthony Horowitz, Caroline Graham
2002,video movie,4.7,6544.0,119.0,Animation, Adventure,United States, Japan,English,None,Jason Alexander, Jennifer Love Hewitt,Bradley Raymond,None,Carl Johnson,None,Jule Selbo, Flip Kobler
1999,movie,6.2,5245.0,30.0,Drama, Romance,India,None,Hindi,None,Aamir Khan, Manisha Koirala,Indra Kumar,None,Darshan Rathod, Sanjeev Rathod,Mildred Cram, Aatish Kapadia
1967,movie,7.5,2436.0,75.0,Drama, History,United Kingdom,None,English,None,Patrick Magee, Ian Richardson,Peter Brook,None,Richard Peaslee,None,Peter Weiss, Geoffrey Skelton
2001,tv series,5.8,416.0,89.0,Animation, Family,United Kingdom,None,English,None,Finty Williams, Judi Dench,Unknown,None,Unknown,None,Helen Craig, Katharine Holabird
1942,movie,6.1,6167.0,114.0,Animation, Short,United States, Brazil,English, Portuguese,Fred Shields, José Oliveira,Wilfred Jackson, Jack Kinney,Edward H. Plumb, Paul J. Smith,Ted Sears, William Cottrell
1973,movie,6.5,826.0,90.0,Action, Crime,Japan,None,Japanese,None,Reiko Ike, Makoto Aikawa,Teruo Ishii,None,Unknown,None,Teruo Ishii, Masahiro Kakefuda
1999,video movie,5.4,610.0,76.0,Action, Sci-Fi,United States,None,English,None,Gary Daniels, Bryan Genesse,Isaac Florentine,None,Stephen Edwards,None,Frank Dietz, Greg Latter
1991,movie,5.3,413.0,91.0,Drama,None,Russia, Soviet Union,Russian,None,Vladimir Zamanskiy, Armen Dzhigarkhanyan,Hussein Erkenov,None,Unknown,None,Vladimir Kholodov, Yuri Polyakov
1984,movie,6.0,2925.0,120.0,Comedy, Romance,United States,None,English,None,Dudley Moore, Amy Irving,Blake Edwards,None,Lee Holdridge,None,Jonathan Reynolds,None
1998,movie,7.9,91.0,77.0,Music,None,United Kingdom,None,English,None,Sarah Brightman, Andrea Bocelli,David Mallet,None,Unknown,None,Unknown,None
1993,movie,7.2,7668.0,96.82821118991332,Action, Comedy,Hong Kong,None,Cantonese,None,Jet Li, Josephine Siao,Corey Yuen,None,Romeo Díaz, Mark Lui,Kin Chung Chan, Susan Godfrey
1997,movie,6.2,67.0,96.82821118991332,Animation, Comedy,Japan,None,English, Japanese,Alex Gardner, Tesshô Genda,Jun Kamiya, Kiyoshi Murayama,Unknown,None,Naruhisa Arakawa, Kiyoshi Murayama
1996,tv movie,7.0,4208.0,65.0,Drama, Thriller,United States,None,English,None,Demi Moore, Shirley Knight,Cher, Nancy Savoca,Cliff Eidelman,None,Pamela Wallace, Earl W. Wallace
