year,kind,rating,vote,runtime,genre1,genre2,country1,country2,language1,language2,cast1,cast2,director1,director2,composer1,composer2,writer1,writer2
2003,2,7.7,474.0,50.0,6,2,62,71,16,110,817,4941,3923,611,2512,762,3299,2469
1994,7,8.1,18.0,83.0,8,27,62,71,16,110,3598,381,3659,611,2512,762,4765,3786
1992,1,5.5,93.0,96.82821118991332,0,20,37,71,33,110,2472,1621,4067,611,354,762,2582,1672
2004,1,5.3,13432.0,60.0,6,4,62,71,16,37,3014,1499,4012,39,410,762,4877,288
1991,1,4.5,2177.0,96.0,4,13,62,71,16,110,589,3310,1100,611,265,762,2868,405
1988,7,8.0,81.0,55.0,6,14,62,71,16,110,3387,4545,1026,466,2512,762,2640,151
2005,7,4.8,7153.0,118.0,0,4,61,49,16,110,4803,5250,3568,611,206,485,3097,3786
1990,3,7.1,2898.0,58.0,0,7,62,71,16,82,3698,4490,1576,611,2496,762,4916,371
1972,1,6.8,1818.0,15.0,1,4,30,71,26,110,1170,4898,3133,611,2009,762,2013,1549
2001,3,7.6,768.0,75.0,7,4,61,67,16,110,3586,169,2955,611,2175,762,4658,3786
2004,0,7.2,67.0,205.0,2,1,62,71,16,95,4294,87,2168,327,2512,762,3350,172
2001,3,7.2,901.0,87.0,7,12,62,71,16,110,2097,5292,670,611,1333,762,4482,1334
1999,0,7.7,286.0,55.0,6,14,62,71,16,110,3107,2523,377,611,2512,762,4765,3786
2000,4,7.6,23785.0,85.0,2,4,62,71,16,110,1051,1114,3923,611,2512,762,921,676
1998,7,4.6,1484.0,117.0,2,1,62,71,16,110,1982,3678,3058,121,1820,762,3901,821
1993,2,6.9,1605.0,90.0,7,19,61,71,16,110,2242,4947,3923,611,2512,762,3226,610
1973,1,7.1,911.0,92.0,0,7,37,71,33,110,4239,5714,2198,611,29,762,4973,1922
2003,7,2.8,120.0,72.0,18,27,62,71,16,110,2226,3108,3804,611,2512,762,4253,3786
1996,2,5.3,129.0,145.0,7,4,23,71,20,29,649,5768,3923,611,2512,762,767,549
1986,1,5.7,6778.0,103.0,4,13,62,29,16,110,1176,1860,3766,611,2061,762,4581,3786
1996,1,7.0,6850.0,114.0,7,27,62,71,16,110,143,1526,2276,611,1064,762,2790,3786
1993,7,8.3,102.0,45.0,6,4,62,71,16,110,512,1847,3923,611,850,429,4765,3786
2002,1,7.5,3562.0,74.0,6,12,62,71,16,110,2789,4204,3429,46,534,25,4765,3786
2003,7,1.6,210.0,82.0,13,24,10,71,16,110,570,5009,410,611,2374,762,492,3786
2003,1,7.6,18930.0,105.0,7,5,7,1,46,110,2865,3944,1431,611,137,762,1699,1032
1996,1,6.5,94804.0,97.0,0,1,62,71,16,110,1154,1260,3242,611,2027,762,3568,448
2004,1,4.8,166.0,118.0,4,19,27,71,7,110,1785,3027,1796,611,2512,762,2190,3786
2004,1,6.3,35678.0,24.0,3,7,61,2,16,110,2340,4288,2263,611,1709,762,4416,3305
1999,3,7.4,112.0,92.0,6,14,62,71,16,110,3872,2765,443,611,2512,762,2608,3786
1985,1,4.1,2370.0,25.0,1,9,62,1,16,110,2696,2964,1508,611,1064,106,1783,3786
1997,7,5.5,1550.0,97.12636815920398,9,13,49,67,16,110,2368,1225,3766,611,2080,762,4581,3786
2001,4,8.3,20289.0,75.0,2,0,62,71,16,110,216,4581,3923,611,2512,762,2143,1642
1994,1,7.4,481.0,96.82821118991332,6,3,62,71,16,110,3103,5771,1203,611,360,762,1442,3786
1974,1,7.5,2968.0,99.0,0,1,54,71,48,110,4882,194,2834,611,673,762,3471,914
1999,1,7.2,2040.0,96.0,4,5,59,71,59,110,2693,5060,2973,611,2512,762,3640,3786
2004,2,8.0,31414.0,160.0,2,0,37,71,16,52,4108,883,3923,611,2512,762,2919,2220
1996,1,4.7,726.0,110.0,0,27,27,60,39,18,1242,528,2353,348,790,100,2951,659
1998,4,7.5,636.0,100.0,2,0,37,71,16,110,940,521,3923,611,2512,762,4146,3786
1999,7,8.1,57.0,97.12636815920398,24,27,62,71,16,110,666,3802,3923,611,2512,762,3600,3786
1996,7,8.5,230.0,60.0,6,14,62,71,16,110,2238,1587,3923,611,711,307,4765,3786
1985,1,6.7,497.0,103.0,4,7,39,71,54,110,333,3488,1598,611,2512,762,1927,1487
2000,3,6.6,76.0,150.0,6,27,62,71,16,110,2782,5771,3086,611,1725,762,4415,3786
1989,1,6.7,123.0,92.0,4,7,27,71,7,110,2597,3428,210,611,2512,762,262,902
1993,1,6.1,47.0,96.0,24,27,27,71,7,60,4395,967,3577,611,2512,762,1955,3786
2004,1,6.9,2915.0,94.0,7,27,23,59,20,8,4123,4012,1682,611,2512,762,2052,3786
2004,7,8.9,148.0,95.0,6,14,62,71,16,110,4385,5424,2601,611,2512,762,4765,3786
1993,1,7.2,322.0,24.0,6,25,23,71,20,37,3227,628,674,611,2512,762,2055,2994
2000,7,8.0,3007.0,98.0,6,0,62,66,16,18,616,2887,1900,58,2563,762,536,1756
1988,2,6.9,1589.0,110.0,2,0,37,71,33,110,1788,3652,3923,611,2512,762,2722,1105
1973,2,8.1,293.0,91.0,16,27,61,71,16,110,1834,3578,3923,611,2512,762,413,862
2004,1,7.1,3586.0,108.0,4,7,55,71,54,34,2402,1210,2706,611,1538,762,3293,3114
2002,1,5.5,1397.0,85.0,7,19,62,71,16,110,1210,2073,4105,611,1802,762,1044,3786
2004,7,7.6,84.0,60.0,14,27,62,71,16,110,679,493,2771,611,2512,762,4765,3786
2002,1,5.6,65498.0,88.0,7,16,10,71,16,110,2497,1845,175,611,1856,762,4256,3170
1995,1,6.7,3692.0,232.0,0,4,62,71,16,110,2039,3074,3974,611,2333,762,4837,3786
1985,1,7.4,3772.0,68.0,0,4,27,71,7,110,777,5064,3231,611,1664,762,3918,475
2003,7,2.7,1662.0,101.0,13,27,62,71,16,110,4091,4808,3183,611,826,762,1507,543
2001,1,3.9,2853.0,82.0,0,1,55,67,54,29,808,117,1576,611,753,762,3071,3786
1999,4,8.5,8010.0,102.0,2,4,37,71,33,29,4352,5395,3923,611,2512,762,4757,3786
1978,1,5.6,1382.0,88.0,4,16,61,71,16,110,1802,3804,3110,611,2352,762,3781,1790
2003,1,6.4,482.0,166.0,0,5,27,10,39,110,4790,4080,199,611,1509,762,1862,1267
1999,1,5.9,1534.0,134.0,0,4,27,71,7,29,4331,4088,1796,611,1510,762,2190,3786
1978,1,6.9,3746.0,96.82821118991332,4,7,23,4,20,110,1710,4241,316,611,846,762,397,3786
2005,7,3.6,299.0,86.0,13,27,10,71,16,110,1746,815,384,611,2166,762,469,3786
